pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
81.35,-73.75,180.0,top,BOOT1,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Open,tht,False
98.35,-73.8046,90.0,bottom,C1,,,C_0805_2012Metric,2.2uF,smt,True
87.325,-93.675,180.0,bottom,C10,,,C_0805_2012Metric,0.1uF,smt,True
95.475,-103.7,0.0,bottom,C11,,,C_0805_2012Metric,0.1uF,smt,True
99.0,-106.95,-90.0,bottom,C12,,,C_0805_2012Metric,0.1uF,smt,True
102.05,-99.34,180.0,bottom,C13,,,C_0805_2012Metric,0.1uF,smt,True
102.05,-101.625,180.0,bottom,C14,,,C_0805_2012Metric,1uF,smt,True
100.6,-95.375,180.0,bottom,C15,,,C_0805_2012Metric,1uF,smt,True
86.9,-82.15,0.0,top,C16,,,C_0805_2012Metric,0.1uF,smt,True
91.05,-99.625,0.0,bottom,C17,,,C_0805_2012Metric,0.1uF,smt,True
91.05,-101.675,0.0,bottom,C18,,,C_0805_2012Metric,22uF,smt,True
79.525,-79.35,180.0,bottom,C2,,,C_0805_2012Metric,2.2uF,smt,True
83.7,-79.35,0.0,bottom,C3,,,C_0805_2012Metric,2.2uF,smt,True
85.328249,-89.171751,45.0,bottom,C4,,,C_0805_2012Metric,2.2uF,smt,True
93.85,-77.075,0.0,bottom,C5,,,C_0805_2012Metric,2.2uF,smt,True
110.125,-74.45,0.0,bottom,C6,,,C_0805_2012Metric,0.1uF,smt,True
112.225,-82.85,0.0,bottom,C7,,,C_0805_2012Metric,2.2nF,smt,True
112.2,-80.6,0.0,bottom,C8,,,C_0805_2012Metric,0.1uF,smt,True
103.825,-76.925,180.0,bottom,C9,,,C_0805_2012Metric,10nF,smt,True
92.9,-80.3875,-90.0,bottom,D1,,,D_SOD-323,5V Min,smt,True
97.5,-80.4375,90.0,bottom,D2,,,LED_0805_2012Metric,LED,smt,True
76.3,-78.035,-90.0,top,D3,,,LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B,smt,True
79.816666,-78.035,-90.0,top,D4,,,LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B-2020,smt,True
83.333332,-78.035,-90.0,top,D5,,,LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B-2020,smt,True
86.85,-78.035,-90.0,top,D6,,,LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B-2020,smt,True
104.975,-91.3,-90.0,bottom,FL1,,,L_CommonMode_Wurth_WE-CNSW-1206,0603USB-951,smt,True
76.0,-87.2,-90.0,top,J1,,,USB_C_Receptacle_G-Switch_GT-USB-7025,USB_C_Receptacle_USB2.0_14P,smt,True
89.9,-108.18,180.0,bottom,J3,,,SolderWirePad_1x01_SMD_1x2mm,Conn_01x01_Pin,tht,True
104.575,-73.275,0.0,bottom,JP3,,,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,SolderJumper_3_Bridged12,tht,False
102.85,-80.2,-90.0,bottom,JP4,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Bridged,tht,False
110.1,-76.95,180.0,bottom,JP5,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Bridged,tht,False
102.7,-106.35,90.0,bottom,JP8,,,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,SolderJumper_3_Bridged12,tht,False
83.15,-82.775,-90.0,top,J_BATT1,,,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,Solder with Relief,tht,True
93.975,-91.75,180.0,bottom,LED1,,,SFH 7072_OSR,SFH 7072,smt,True
86.87,-86.56,180.0,top,MK1,,,InvenSense_ICS-43434-6_3.5x2.65mm,ICS-43434,smt,True
89.3875,-80.375,180.0,bottom,Q1,,,SOT-23-3,AO3423 P-Chanel,smt,True
76.45,-89.5125,-90.0,bottom,R1,,,R_0805_2012Metric,5.1k,smt,True
100.2375,-86.725,180.0,bottom,R10,,,R_0805_2012Metric,4.7k,smt,True
87.3875,-95.87,0.0,bottom,R11,,,R_0805_2012Metric,100k,smt,True
74.7,-99.8,90.0,bottom,R12,,,R_0805_2012Metric,100k,smt,True
78.8625,-93.25,180.0,bottom,R13,,,R_0805_2012Metric,100k,smt,True
91.8,-104.6125,90.0,bottom,R14,,,R_0805_2012Metric,10k,smt,True
84.5875,-102.88,180.0,bottom,R15,,,R_0805_2012Metric,470,smt,True
84.6175,-100.74,0.0,bottom,R16,,,R_0805_2012Metric,4.7k,smt,True
113.19,-89.9625,-90.0,bottom,R17,,,R_0805_2012Metric,4.7k,smt,True
78.1,-98.68,-90.0,bottom,R18,,,R_0805_2012Metric,100k,smt,True
84.05,-90.95,90.0,top,R19,,,C_0805_2012Metric,22R,smt,True
76.45,-84.8875,90.0,bottom,R2,,,R_0805_2012Metric,5.1k,smt,True
81.7,-90.95,90.0,top,R20,,,C_0805_2012Metric,22R,smt,True
95.375,-80.4125,90.0,bottom,R21,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4.7k,smt,True
90.425,-73.8625,-90.0,bottom,R3,,,R_0805_2012Metric,100k,smt,True
86.01,-73.7475,-90.0,bottom,R4,,,R_0805_2012Metric,10k,smt,True
77.4625,-75.35,180.0,bottom,R5,,,R_0805_2012Metric,4.7k,smt,True
82.275,-89.5875,90.0,bottom,R6,,,R_0805_2012Metric,10M,smt,True
80.225,-89.5875,-90.0,bottom,R7,,,R_0805_2012Metric,10M,smt,True
88.05,-73.825,90.0,bottom,R8,,,C_0805_2012Metric,100k,smt,True
104.0625,-86.725,0.0,bottom,R9,,,R_0805_2012Metric,4.7k,smt,True
86.5,-73.75,0.0,top,RST1,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Open,tht,False
76.25,-72.8,180.0,top,S1,,,SW_SPST_CK_KMS2xxGP,SW_Push,smt,True
75.7,-80.2,-90.0,bottom,SHLD1,,,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,SolderJumper_2_Bridged,tht,False
110.475,-99.775,180.0,bottom,TP1,,,TestPoint_Pad_D1.0mm,TestPoint,tht,True
110.57,-89.15,180.0,bottom,TP2,,,TestPoint_Pad_D1.0mm,TestPoint,tht,True
100.15,-83.2,180.0,bottom,TP3,,,TestPoint_Pad_D1.0mm,TestPoint,tht,True
96.475,-100.875,180.0,bottom,TP4,,,TestPoint_Pad_D1.0mm,TestPoint,tht,True
81.15,-102.25,180.0,top,U1,,,ESP32-C6-MINI-1,ESP32-C6-MINI-1/U,smt,True
94.27795,-73.8352,0.0,bottom,U2,,,TSOT-23-5_RIT,RT9080-33GJ5,smt,True
81.6125,-76.3,180.0,bottom,U3,,,SOT-23-5,MCP73831-2-OT,smt,True
